127.0.0.1 - - [14/Apr/2021:13:50:55 +0800] "GET / HTTP/1.1" 404 679
0:0:0:0:0:0:0:1 - - [14/Apr/2021:13:50:58 +0800] "GET /tmkeshihua/ HTTP/1.1" 200 10786
0:0:0:0:0:0:0:1 - - [14/Apr/2021:13:50:58 +0800] "GET /tmkeshihua/images/nn_zgl.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:13:50:58 +0800] "GET /tmkeshihua/images/nn_tls.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:13:50:58 +0800] "GET /tmkeshihua/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:13:50:58 +0800] "GET /tmkeshihua/images/nn_jd.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:13:50:58 +0800] "GET /tmkeshihua/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:13:50:58 +0800] "GET /tmkeshihua/images/yl_ht.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:13:50:58 +0800] "GET /tmkeshihua/images/yl_jdb.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:13:50:58 +0800] "GET /tmkeshihua/images/sn_cz.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:13:50:58 +0800] "GET /tmkeshihua/images/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:13:50:58 +0800] "GET /tmkeshihua/images/yl_kl.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:13:50:58 +0800] "GET /tmkeshihua/images/sn_kfe.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:13:50:58 +0800] "GET /tmkeshihua/images/sn_rx.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:13:51:04 +0800] "GET /tmkeshihua/CommodityServlet?action=show&id=3 HTTP/1.1" 200 4292
0:0:0:0:0:0:0:1 - - [14/Apr/2021:13:53:28 +0800] "GET /tmkeshihua/ HTTP/1.1" 200 10775
0:0:0:0:0:0:0:1 - - [14/Apr/2021:13:53:28 +0800] "GET /tmkeshihua/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:13:53:28 +0800] "GET /tmkeshihua/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:13:53:28 +0800] "GET /tmkeshihua/css/form.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:13:53:28 +0800] "GET /tmkeshihua/css/table.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:13:53:28 +0800] "GET /tmkeshihua/images/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:13:53:28 +0800] "GET /tmkeshihua/images/gwc.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:13:53:28 +0800] "GET /tmkeshihua/images/id.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:13:53:28 +0800] "GET /tmkeshihua/images/nn_tls.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:13:53:28 +0800] "GET /tmkeshihua/images/nn_jd.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:13:53:28 +0800] "GET /tmkeshihua/images/nn_zgl.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:13:53:28 +0800] "GET /tmkeshihua/images/yl_kl.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:13:53:28 +0800] "GET /tmkeshihua/images/yl_jdb.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:13:53:28 +0800] "GET /tmkeshihua/images/yl_ht.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:13:53:28 +0800] "GET /tmkeshihua/images/sn_cz.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:13:53:28 +0800] "GET /tmkeshihua/images/sn_rx.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:13:53:28 +0800] "GET /tmkeshihua/images/sn_kfe.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:13:53:28 +0800] "GET /tmkeshihua/images/fa-search.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:13:56:18 +0800] "GET /tmkeshihua/CommodityServlet?action=show&id=3 HTTP/1.1" 200 4292
0:0:0:0:0:0:0:1 - - [14/Apr/2021:14:01:38 +0800] "GET /tmkeshihua/CommodityServlet?action=show&id=3 HTTP/1.1" 200 4280
0:0:0:0:0:0:0:1 - - [14/Apr/2021:14:01:39 +0800] "GET /tmkeshihua/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:14:01:39 +0800] "GET /tmkeshihua/css/form.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:14:01:39 +0800] "GET /tmkeshihua/css/table.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:14:01:39 +0800] "GET /tmkeshihua/images/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:14:01:39 +0800] "GET /tmkeshihua/images/id.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:14:01:39 +0800] "GET /tmkeshihua/images/gwc.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:14:01:39 +0800] "GET /tmkeshihua/images/nn_jd.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:14:01:39 +0800] "GET /tmkeshihua/images/fa-search.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:14:02:18 +0800] "GET /tmkeshihua/CommodityServlet?action=show&id=3 HTTP/1.1" 200 4280
0:0:0:0:0:0:0:1 - - [14/Apr/2021:14:02:18 +0800] "GET /tmkeshihua/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:14:02:18 +0800] "GET /tmkeshihua/css/form.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:14:02:18 +0800] "GET /tmkeshihua/css/table.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:14:02:18 +0800] "GET /tmkeshihua/images/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:14:02:18 +0800] "GET /tmkeshihua/images/gwc.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:14:02:18 +0800] "GET /tmkeshihua/images/id.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:14:02:18 +0800] "GET /tmkeshihua/images/nn_jd.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:14:02:18 +0800] "GET /tmkeshihua/images/fa-search.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:14:04:05 +0800] "GET /tmkeshihua/CommodityServlet?action=show&id=3 HTTP/1.1" 200 4302
0:0:0:0:0:0:0:1 - - [14/Apr/2021:14:04:05 +0800] "GET /tmkeshihua/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:14:04:05 +0800] "GET /tmkeshihua/css/table.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:14:04:05 +0800] "GET /tmkeshihua/css/form.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:14:04:05 +0800] "GET /tmkeshihua/images/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:14:04:05 +0800] "GET /tmkeshihua/images/gwc.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:14:04:05 +0800] "GET /tmkeshihua/images/id.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:14:04:05 +0800] "GET /tmkeshihua/images/nn_jd.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:14:04:05 +0800] "GET /tmkeshihua/images/fa-search.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:14:04:06 +0800] "GET /tmkeshihua/CommodityServlet?action=show&id=3 HTTP/1.1" 200 4302
0:0:0:0:0:0:0:1 - - [14/Apr/2021:14:04:07 +0800] "GET /tmkeshihua/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:14:04:07 +0800] "GET /tmkeshihua/css/form.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:14:04:07 +0800] "GET /tmkeshihua/css/table.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:14:04:07 +0800] "GET /tmkeshihua/images/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:14:04:07 +0800] "GET /tmkeshihua/images/gwc.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:14:04:07 +0800] "GET /tmkeshihua/images/id.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2021:14:04:07 +0800] "GET /tmkeshihua/images/nn_jd.jpg HTTP/1.1" 304 -
