127.0.0.1 - - [02/May/2021:11:30:55 +0800] "GET / HTTP/1.1" 404 679
0:0:0:0:0:0:0:1 - - [02/May/2021:11:30:59 +0800] "GET /tmkeshihua/ HTTP/1.1" 200 17246
0:0:0:0:0:0:0:1 - - [02/May/2021:11:31:31 +0800] "GET /tmkeshihua/ HTTP/1.1" 200 17246
0:0:0:0:0:0:0:1 - - [02/May/2021:11:31:31 +0800] "GET /favicon.ico HTTP/1.1" 404 690
0:0:0:0:0:0:0:1 - - [02/May/2021:11:31:34 +0800] "POST /tmkeshihua/LoginServlet HTTP/1.1" 200 1704
0:0:0:0:0:0:0:1 - - [02/May/2021:11:31:34 +0800] "GET /tmkeshihua/images/sg2.jpg HTTP/1.1" 404 712
0:0:0:0:0:0:0:1 - - [02/May/2021:11:31:40 +0800] "GET /tmkeshihua/admin/login.jsp HTTP/1.1" 200 1846
0:0:0:0:0:0:0:1 - - [02/May/2021:11:31:48 +0800] "POST /tmkeshihua/LoginServlet HTTP/1.1" 200 36341
0:0:0:0:0:0:0:1 - - [02/May/2021:11:31:48 +0800] "GET /tmkeshihua/css/index_admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2021:11:31:48 +0800] "GET /tmkeshihua/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2021:11:31:48 +0800] "GET /tmkeshihua/js/echarts.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2021:11:31:49 +0800] "POST /tmkeshihua/bar.do HTTP/1.1" 200 3452
0:0:0:0:0:0:0:1 - - [02/May/2021:11:31:49 +0800] "POST /tmkeshihua/commoditydetail.do HTTP/1.1" 200 3452
0:0:0:0:0:0:0:1 - - [02/May/2021:11:31:49 +0800] "POST /tmkeshihua/repurchaserate.do HTTP/1.1" 200 3452
0:0:0:0:0:0:0:1 - - [02/May/2021:11:31:49 +0800] "POST /tmkeshihua/jhspricenumber.do HTTP/1.1" 200 3452
0:0:0:0:0:0:0:1 - - [02/May/2021:11:50:41 +0800] "GET /tmkeshihua/DealServlet?action=show HTTP/1.1" 200 12767
0:0:0:0:0:0:0:1 - - [02/May/2021:11:50:41 +0800] "GET /tmkeshihua/css/animate.css HTTP/1.1" 404 713
0:0:0:0:0:0:0:1 - - [02/May/2021:11:50:41 +0800] "GET /tmkeshihua/css/spinners.css HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [02/May/2021:11:50:41 +0800] "GET /tmkeshihua/css/animate.css HTTP/1.1" 404 713
0:0:0:0:0:0:0:1 - - [02/May/2021:11:50:41 +0800] "GET /tmkeshihua/css/spinners.css HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [02/May/2021:11:50:41 +0800] "POST /tmkeshihua/bar.do HTTP/1.1" 200 3452
